Model,noise_level, acc

cnn_dirty, 0, 0.4689
cnn_dirty, 20, 0.4831
cnn_dirty, 40, 0.4728
cnn_dirty, 60, 0.4281
cnn_dirty, 80, 0.3781
cnn_dirty, 100, 0.3178

cnn_clean, 0, 0.5758
cnn_clean, 20, 0.5228
cnn_clean, 40, 0.4463
cnn_clean, 60, 0.3756
cnn_clean, 80, 0.3315
cnn_clean, 100, 0.2836

resnet18_dirty, 0, 0.4747
resnet18, 20, 0.6577
resnet18, 40, 0.6820
resnet18, 60, 0.6419
resnet18, 80, 0.5678
resnet18, 100,0.4951

resnet_clean, 0, 0.9666
resnet_clean, 20, 0.6559
resnet_clean, 40, 0.3981
resnet_clean, 60, 0.2262
resnet_clean, 80, 0.1219
resnet_clean, 100,0.0672